"Index","ID","Age","Gender","Education","Country","Ethnicity","Nscore","Escore","Oscore","Ascore","Cscore","Impulsive","SS","Alcohol","Amphet","Amyl","Benzos","Caff","Cannabis","Choc","Coke","Crack","Ecstasy","Heroin","Ketamine","Legalh","LSD","Meth","Mushrooms","Nicotine","Semer","VSA"
56,56,"55-64","Female","Professional certificate/diploma","UK","White",0.04257,-0.69509,-1.11902,-0.45321,-0.40581,-1.37983,-2.07848,"Used in Last Year","Never Used","Never Used","Never Used","Used in Last Day","Never Used","Used in Last Day","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used"
57,57,"35-44","Female","Some college or university, no certificate or degree","UK","White",0.04257,0.00332,-1.68062,-0.01729,0.25953,-1.37983,-1.54858,"Used in Last Week","Never Used","Never Used","Never Used","Used in Last Day","Never Used","Used in Last Day","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used"
58,58,"25-34","Female","University degree","UK","White",-0.58016,0.63779,-1.97495,0.28783,0.7583,-0.71126,-0.52593,"Used over a Decade Ago","Never Used","Never Used","Never Used","Used in Last Day","Never Used","Used in Last Year","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used"
59,59,"45-54","Male","Left school at 18 years","UK","White",0.22393,0.63779,-0.01928,-0.45321,-0.40581,1.86203,1.2247,"Used in Last Week","Used over a Decade Ago","Used over a Decade Ago","Never Used","Used in Last Day","Used in Last Week","Used in Last Week","Used in Last Week","Used in Last Decade","Used in Last Year","Used over a Decade Ago","Used in Last Year","Used in Last Year","Used over a Decade Ago","Never Used","Used in Last Decade","Used in Last Day","Never Used","Used over a Decade Ago"
60,60,"45-54","Male","University degree","UK","White",-0.46725,-1.23177,-1.27553,-1.6209,-0.14277,-1.37983,-1.54858,"Used in Last Week","Never Used","Never Used","Never Used","Used in Last Day","Never Used","Used in Last Day","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used"
61,61,"25-34","Female","Doctorate degree","UK","White",1.37297,0.32197,0.29338,-0.30172,-0.27607,-1.37983,0.07987,"Used in Last Week","Never Used","Never Used","Used in Last Year","Used in Last Day","Never Used","Used in Last Day","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Used over a Decade Ago","Never Used","Never Used"
62,62,"45-54","Male","Masters degree","UK","Asian",-2.21844,1.58487,1.24033,0.13136,1.30612,-1.37983,-1.18084,"Used in Last Week","Used over a Decade Ago","Never Used","Never Used","Used in Last Month","Used over a Decade Ago","Used in Last Week","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Used over a Decade Ago","Never Used","Never Used","Used over a Decade Ago"
63,63,"25-34","Male","University degree","UK","White",-0.58016,-1.37639,-1.82919,-1.34289,0.41594,-1.37983,-1.18084,"Used in Last Week","Never Used","Never Used","Never Used","Used in Last Week","Never Used","Used in Last Week","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Used in Last Month","Never Used","Never Used"
64,64,"45-54","Male","University degree","UK","White",1.02119,-0.30033,-0.71727,-0.60633,-0.00665,-1.37983,-1.18084,"Used in Last Week","Never Used","Never Used","Never Used","Used in Last Day","Never Used","Used in Last Week","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used"
65,65,"45-54","Male","Doctorate degree","UK","White",-1.55078,0.47617,1.06238,-0.45321,0.93949,-1.37983,-0.52593,"Used in Last Day","Used over a Decade Ago","Never Used","Used over a Decade Ago","Used in Last Day","Used in Last Day","Used in Last Week","Used in Last Month","Never Used","Never Used","Never Used","Never Used","Never Used","Used over a Decade Ago","Never Used","Used over a Decade Ago","Used over a Decade Ago","Never Used","Never Used"
66,66,"35-44","Male","Some college or university, no certificate or degree","UK","White",0.73545,0.47617,-0.84732,1.11406,0.58489,0.52975,-0.21575,"Used in Last Week","Never Used","Never Used","Used in Last Year","Used in Last Day","Never Used","Used in Last Day","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used"
67,67,"45-54","Male",NA,"UK","White",-1.05308,-0.69509,-1.11902,1.2861,0.41594,-0.71126,-1.18084,"Used in Last Month","Never Used","Never Used","Never Used","Never Used","Never Used","Used in Last Week","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used"
68,68,"25-34","Male","Masters degree","UK","White",-0.34799,-0.30033,1.06238,-0.91699,-0.14277,0.88113,-0.21575,"Used in Last Week","Used over a Decade Ago","Used over a Decade Ago","Never Used","Used in Last Day","Used in Last Decade","Used in Last Week","Used over a Decade Ago","Never Used","Never Used","Never Used","Never Used","Never Used","Used over a Decade Ago","Never Used","Used over a Decade Ago","Used in Last Week","Never Used","Never Used"
69,69,"35-44","Male","Professional certificate/diploma","Other","White",-0.92104,0.00332,0.29338,-0.15487,-0.27607,-0.21712,0.07987,"Used in Last Week","Used over a Decade Ago","Used over a Decade Ago","Never Used","Used in Last Week","Used in Last Decade","Used in Last Day","Used in Last Year","Never Used","Used in Last Decade","Never Used","Used over a Decade Ago","Used over a Decade Ago","Used over a Decade Ago","Never Used","Used over a Decade Ago","Used over a Decade Ago","Never Used","Never Used"
70,70,"45-54","Female",NA,"UK","White",-0.05188,-0.69509,-1.68062,0.28783,-0.00665,-1.37983,-0.84637,"Used in Last Day","Never Used","Never Used","Used in Last Day","Used over a Decade Ago","Never Used","Used in Last Day","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Used over a Decade Ago","Never Used","Never Used"
71,71,"25-34","Male","Some college or university, no certificate or degree","UK","White",-0.34799,-0.30033,0.14143,-1.92595,-0.27607,0.52975,0.7654,"Used in Last Day","Used in Last Decade","Used over a Decade Ago","Never Used","Used in Last Month","Used in Last Decade","Used in Last Day","Used in Last Year","Never Used","Used in Last Year","Never Used","Used in Last Decade","Used in Last Decade","Used in Last Decade","Never Used","Never Used","Used in Last Decade","Never Used","Used over a Decade Ago"
