"","Index","ID","Age","Gender","Education","Country","Ethnicity","Nscore","Escore","Oscore","Ascore","Cscore","Impulsive","SS","Alcohol","Amphet","Amyl","Benzos","Caff","Cannabis","Choc","Coke","Crack","Ecstasy","Heroin","Ketamine","Legalh","LSD","Meth","Mushrooms","Nicotine","Semer","VSA"
"14",14,14,"55-64","Female","Professional certificate/diploma","Canada","White",-0.79151,0.80523,-0.01928,0.94156,3.46436,-0.71126,-0.84637,"Used over a Decade Ago","Never Used","Never Used","Never Used","Used in Last Week","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Used over a Decade Ago","Never Used","Never Used"
"15",15,15,"55-64","Female","Professional certificate/diploma","UK","White",-0.92104,1.45421,0.44585,-0.60633,1.63088,1.29221,0.7654,"Used in Last Day","Never Used","Never Used","Never Used","Used in Last Day","Never Used","Used in Last Day","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Used in Last Day","Never Used","Never Used"
"16",16,16,"55-64","Male","University degree","UK","White",-2.05048,-1.50796,-1.55521,-1.07533,1.13407,-0.71126,-0.52593,"Used in Last Week","Used in Last Decade","Used in Last Decade","Never Used","Used in Last Day","Used over a Decade Ago","Used in Last Week","Used in Last Decade","Never Used","Used over a Decade Ago","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used"
"17",17,17,"35-44","Female","Some college or university, no certificate or degree","UK","White",-1.55078,-0.80615,-1.68062,0.28783,0.7583,-0.21712,-2.07848,"Used in Last Day","Never Used","Never Used","Used over a Decade Ago","Used in Last Day","Used in Last Year","Used in Last Week","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Used in Last Day","Never Used","Never Used"
"18",18,18,"45-54","Male",NA,"UK","White",0.52135,-1.23177,-0.31776,-0.45321,-1.38502,-1.37983,-0.84637,"Used in Last Day","Used over a Decade Ago","Used over a Decade Ago","Never Used","Used in Last Day","Used in Last Day","Used in Last Month","Used over a Decade Ago","Never Used","Used over a Decade Ago","Never Used","Used in Last Decade","Never Used","Used over a Decade Ago","Never Used","Used over a Decade Ago","Used in Last Day","Never Used","Never Used"
"19",19,19,"55-64","Male","University degree","Australia","White",1.37297,-0.15487,-0.17779,-1.92595,-1.5184,-0.71126,-0.21575,"Used in Last Day","Used in Last Decade","Never Used","Used in Last Decade","Used in Last Day","Used in Last Year","Used in Last Day","Used in Last Decade","Never Used","Used in Last Decade","Never Used","Never Used","Used in Last Decade","Used over a Decade Ago","Never Used","Used over a Decade Ago","Never Used","Never Used","Never Used"
"20",20,20,"35-44","Male","Professional certificate/diploma","UK","White",-0.34799,-1.7625,-2.39883,-1.92595,0.7583,-1.37983,-2.07848,"Used in Last Month","Used over a Decade Ago","Never Used","Never Used","Used in Last Day","Used over a Decade Ago","Used in Last Day","Never Used","Never Used","Used over a Decade Ago","Never Used","Never Used","Never Used","Never Used","Used in Last Day","Never Used","Used over a Decade Ago","Never Used","Never Used"
"21",21,21,"45-54","Male","Professional certificate/diploma","UK","White",-0.79151,0.80523,0.7233,1.61108,-1.13788,0.19268,-0.21575,"Used in Last Day","Used over a Decade Ago","Used over a Decade Ago","Never Used","Used in Last Day","Used in Last Decade","Used in Last Day","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Used over a Decade Ago","Never Used","Used over a Decade Ago","Used in Last Year","Never Used","Never Used"
"22",22,22,"65+","Male","Left school before 16 years","UK","White",-1.1943,0.47617,-1.11902,-0.60633,1.81175,-0.21712,-1.18084,"Used in Last Week","Never Used","Never Used","Never Used","Used in Last Day","Used over a Decade Ago","Used in Last Day","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Used over a Decade Ago","Used over a Decade Ago","Never Used","Never Used"
"23",23,23,"45-54","Male","University degree","UK","White",0.41667,-0.94779,-0.84732,1.11406,-0.89891,-0.71126,0.07987,"Used in Last Month","Never Used","Never Used","Never Used","Used in Last Week","Never Used","Used in Last Day","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used"
"24",24,24,"45-54","Male",NA,"UK","White",1.60383,-3.27393,-1.27553,0.28783,-1.0145,-1.37983,-1.54858,"Used in Last Day","Used in Last Decade","Used over a Decade Ago","Used in Last Week","Used in Last Day","Used in Last Decade","Used in Last Day","Used in Last Decade","Never Used","Never Used","Used over a Decade Ago","Never Used","Never Used","Used over a Decade Ago","Never Used","Never Used","Used in Last Day","Never Used","Used over a Decade Ago"
"25",25,25,"55-64","Male","University degree","UK","White",-0.14882,0.63779,1.24033,0.76096,1.46191,-0.21712,-0.52593,"Used in Last Week","Used over a Decade Ago","Used over a Decade Ago","Used over a Decade Ago","Used in Last Week","Used over a Decade Ago","Used in Last Week","Used over a Decade Ago","Never Used","Used over a Decade Ago","Never Used","Never Used","Never Used","Used over a Decade Ago","Never Used","Used over a Decade Ago","Used in Last Day","Never Used","Never Used"
